City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
134,Veraval,IN,20.9,70.3667,81.32,80,92,14.32,overcast clouds
135,Gravatai,BR,-29.9444,-50.9919,59.18,86,0,3.44,clear sky
136,Upernavik,GL,72.7868,-56.1549,48.76,68,100,0.45,overcast clouds
137,Hithadhoo,MV,-0.6,73.0833,80.73,74,100,16.35,overcast clouds
138,Wladyslawowo,PL,54.7909,18.4009,55.0,79,42,2.28,scattered clouds
139,Mayo,US,38.8876,-76.5119,75.96,91,100,5.75,moderate rain
140,Mahebourg,MU,-20.4081,57.7,68.29,83,40,9.22,scattered clouds
141,Nishihara,JP,26.1842,127.7558,78.08,94,75,17.27,light intensity shower rain
142,Yumen,CN,40.2833,97.2,76.3,32,31,14.03,scattered clouds
143,Adre,TD,13.4667,22.2,73.51,82,100,8.63,moderate rain
144,Staicele,LV,57.8364,24.75,57.81,86,100,5.97,overcast clouds
145,East London,ZA,-33.0153,27.9116,53.85,63,0,7.34,clear sky
146,Qobustan,AZ,40.0824,49.412,77.52,64,2,3.47,clear sky
147,Clyde River,CA,70.4692,-68.5914,35.83,100,100,4.61,overcast clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,71.55,91,77,5.01,broken clouds
149,Loudi,CN,27.7344,111.9944,87.48,61,0,2.64,clear sky
150,Kapaa,US,22.0752,-159.319,87.78,64,40,17.27,scattered clouds
151,Mount Isa,AU,-20.7333,139.5,76.77,23,0,6.91,clear sky
152,Ampanihy,MG,-24.7,44.75,63.93,88,10,4.03,clear sky
153,Karratha,AU,-20.7377,116.8463,74.61,62,81,3.8,broken clouds
154,Goderich,CA,43.7501,-81.7165,79.12,53,26,11.5,scattered clouds
155,Surt,LY,31.2089,16.5887,80.53,82,0,6.15,clear sky
156,Kurkino,RU,53.4257,38.6582,57.36,64,55,6.58,broken clouds
157,General Delgado,PY,-27.1667,-56.5167,58.57,67,16,4.43,few clouds
158,Gat,IL,31.61,34.7642,75.88,74,0,2.42,clear sky
159,Morant Bay,JM,17.8815,-76.4093,85.62,79,28,8.9,scattered clouds
160,Itaqui,BR,-29.1253,-56.5531,55.54,79,0,7.09,clear sky
161,Clinton,US,42.587,-82.9199,81.86,63,20,12.66,few clouds
162,Ferkessedougou,CI,9.6,-5.2,72.64,91,100,4.38,light rain
163,Vao,NC,-22.6667,167.4833,69.84,77,78,25.48,broken clouds
164,Coihaique,CL,-45.5752,-72.0662,37.35,70,100,5.75,overcast clouds
165,Shahr-E Babak,IR,30.1165,55.1186,71.87,68,100,3.78,overcast clouds
166,Okhotsk,RU,59.3833,143.3,59.0,86,100,8.1,overcast clouds
167,Botwood,CA,49.1499,-55.3482,68.9,76,100,8.41,overcast clouds
168,Tomari,RU,47.7658,142.0683,67.98,62,55,3.06,broken clouds
169,La Ronge,CA,55.1001,-105.2842,71.82,49,40,9.22,scattered clouds
170,Dillon,US,34.4166,-79.3712,91.38,53,74,4.52,broken clouds
171,Hobyo,SO,5.3505,48.5268,75.13,84,0,22.01,clear sky
